;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-06-18T09:00:00;10523.882149953368;3137.4832384778106;156419.88520254835;50670.543684960656;3137.4832384778106;7349.451265272853;126676.35921240173;6274.966476955621;117314.91390191125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T10:00:00;9647.547803533662;3004.0185566034;143394.6426244919;46451.15609108799;3004.0185566034;7036.814638870663;116127.89022772008;6008.0371132068;107545.98196836894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T11:00:00;8159.0556296877585;2936.473169338001;121270.6990416669;39284.34192071883;2936.473169338001;6878.59179139439;98210.85480179715;5872.946338676002;90953.02428125015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T12:00:00;6330.452140326053;2969.745526768735;94091.57029323211;30479.95474971803;2969.745526768735;6956.53119404011;76199.88687429512;5939.49105353747;70568.67771992406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T13:00:00;5584.2917308016995;2745.7199923384924;83001.14530201313;26887.330555711887;2745.7199923384924;6431.758749910474;67218.32638927975;5491.439984676985;62250.858976509844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T14:00:00;4103.031442338874;2903.200811907266;60984.69158512356;19755.33657422421;2903.200811907266;6800.65238874867;49388.341435560564;5806.401623814532;45738.51868884266;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T15:00:00;3197.556851875599;2536.329291815754;47526.32807668026;15395.644101623251;2536.329291815754;5941.267922734028;38489.110254058156;5072.658583631508;35644.746057510194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T16:00:00;1878.5885795094316;2456.5256676021895;27922.07341004724;9045.05612356393;2456.5256676021895;5754.330558493544;22612.64030890984;4913.051335204379;20941.55505753543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T17:00:00;1566.3412929695944;2684.3037235471757;23281.040374953343;7541.643262446196;2684.3037235471757;6287.8931608163075;18854.1081561155;5368.607447094351;17460.780281215004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T18:00:00;2035.563032824418;2757.3528090342006;30255.235794174827;9800.859046932384;2757.3528090342006;6459.008240309164;24502.14761733097;5514.705618068401;22691.426845631122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T19:00:00;2285.2757810517815;2917.9607298652622;33966.79763559189;11003.179686545614;2917.9607298652622;6835.227010974968;27507.949216364053;5835.9214597305245;25475.09822669391;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T20:00:00;2560.5128306311744;3084.322517018931;38057.73547442807;12328.395110446398;3084.322517018931;7224.924024203565;30820.987776116013;6168.645034037862;28543.30160582104;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T21:00:00;2873.1855221935466;3082.8215084130334;42705.09144281229;13833.856217968929;3082.8215084130334;7221.407960926315;34584.640544922346;6165.643016826067;32028.81858210921;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T22:00:00;2350.788154521992;2663.0394349636244;34940.529362300964;11318.609632883668;2663.0394349636244;6238.082264388592;28296.52408220918;5326.078869927249;26205.397021725716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T23:00:00;1591.0147842765573;2004.4719091259776;23647.77050579183;7660.441553924164;2004.4719091259776;4695.409501494936;19151.103884810425;4008.9438182519552;17735.82787934387;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T00:00:00;5725.194155641237;1835.1098041590965;72328.27772289164;27565.749638272624;1835.1098041590965;4013.2185842399053;68914.3740956816;3670.219608318193;54246.20829216875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T01:00:00;4402.500537814378;1749.9878418715937;55618.25030168844;21197.224811698852;1749.9878418715937;3827.064578520497;52993.06202924717;3499.9756837431873;41713.687726266326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T02:00:00;3073.17630375295;1688.6401776448586;38824.45610516719;14796.774795847532;1688.6401776448586;3692.902804867252;36991.936989618865;3377.280355289717;29118.342078875394;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T03:00:00;3949.560856411611;1857.387817726529;49896.11299461782;19016.40412346331;1857.387817726529;4061.938577924282;47541.010308658304;3714.775635453058;37422.08474596336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T04:00:00;4053.3642967734772;2844.270567997267;51207.4963047693;19516.19846594637;2844.270567997267;6220.161581733676;48790.49616486596;5688.541135994534;38405.622228576976;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T05:00:00;4177.288227778171;4374.470843181206;52773.06845036862;20112.86924485786;4374.470843181206;9566.570700173981;50282.17311214468;8748.941686362412;39579.80133777647;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T06:00:00;8524.914700203019;4986.783708620411;107698.07647356288;41045.88559357008;4986.783708620411;10905.643362409492;102614.71398392526;9973.567417240822;80773.55735517218;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
