Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;Subtyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;Normaußentemperatur;UTM_X;UTM_Y
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486459.859472768;5638395.851470881
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486442.1267621089;5638398.135028937
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486257.24873347953;5638126.094796942
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486267.68573972106;5638228.410473875
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486255.9435688203;5638224.633478618
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486146.7215422027;5638331.422303339
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486231.12105042516;5638245.249448351
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486153.6838419977;5638374.505802332
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486273.22601982526;5638119.59044774
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486205.35556436406;5638328.846748875
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486114.27951602655;5638297.380924593
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486247.81063044653;5638213.734932394
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486183.57715333026;5638367.571333486
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486207.4690739899;5638353.887501137
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486143.46858490893;5638375.422672432
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486280.2069996233;5638238.780980737
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486291.66559825925;5638251.412966474
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486171.58648709;5638364.462708976
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486136.1404955459;5638374.697177922
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486160.39425592887;5638126.106150156
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486142.919278338;5638126.75695179
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486731.04491676606;5638193.712214027
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486647.06904891087;5638020.535188357
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486701.6079349052;5638125.481459722
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486606.0786790378;5638389.292555498
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486594.52775920386;5638405.189884306
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486556.06705430197;5638412.447054506
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486607.11601091886;5638311.610232429
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486614.2742383913;5638325.550450842
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486621.06214493193;5638336.342751242
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486604.56148283853;5638341.852757293
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486616.6617538273;5638249.390967189
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486625.087272263;5638272.5604535695
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486629.1019804931;5638242.7359559005
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486629.7840446325;5638259.535028048
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486706.4834581382;5638189.346793235
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486695.7255673902;5638202.436213065
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486692.5732420219;5638211.552999623
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486727.02728706977;5638275.047163218
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486712.5075906266;5638276.132786173
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486705.2815971015;5638291.7701582825
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486692.89720673603;5638355.037852635
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486708.9729576992;5638330.176082289
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486689.34191958356;5638324.583687662
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486686.09511127236;5638333.692074108
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486690.0563896725;5638343.590055753
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486681.6671867878;5638348.419214926
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486680.85048989253;5638365.880086902
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486580.69386722916;5638326.809380636
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486394.40386325587;5638319.306132686
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486544.78276472574;5638269.71462239
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486586.92970654217;5638329.632636356
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486376.0875174596;5638325.155225459
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486550.20700972556;5638281.365707852
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486591.60515421093;5638337.024170084
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486367.8340488908;5638335.6021092
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486538.6146851733;5638306.174419148
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486550.21873338625;5638314.978985259
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486427.6392420171;5638326.181658409
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486561.7574335085;5638319.574597423
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486566.2768416077;5638324.926565277
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486413.6201053515;5638316.9168564435
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486572.1776059318;5638327.802564742
